similarity,time_diff_hours,source_a,title_a,source_b,title_b,shared_tokens,human_verdict,claude_note
1,0.1,Kosmo Digital,Anwar mohon maaf tidak dapat sertai sidang khas RCI TH,Utusan Malaysia,Anwar mohon maaf tidak dapat sertai sidang khas RCI TH,anwar | mohon | maaf | dapat | sertai | sidang | khas | rci,Same,identical title - wire/syndicated story
0.5,1.8,BBC News World,Watch: Moment powerful earthquake shakes Colombia and crumbles buildings,Al Jazeera English,Moment of terror as powerful earthquake shakes airport in Colombia,moment | powerful | earthquake | shakes | colombia,Same,same earthquake event
0.43,25.1,Al Jazeera English,Trump says relationship is good even as Netanyahu rejects Gaza peace plan,The Guardian World,Netanyahu rejects US-led 15-point Gaza peace plan in rare public break with Trump,trump | netanyahu | rejects | gaza | peace | plan,Same,same Gaza-plan news cycle
0.4,1.5,BBC News World,Russian court bars only anti-war party from standing in parliamentary elections,Al Jazeera English,Russia bars only party opposing war in Ukraine from parliamentary vote,bars | only | war | party | from | parliamentary,Same,same court ruling
0.38,1.9,BBC News World,At least 13 killed in Ukrainian drone strike deep into Russia,The Guardian World,Ukraine drone strike on oil refinery deep inside Russia kills at least 13,least | drone | strike | deep | russia,Same,matching casualty count = same strike
0.36,28,Al Jazeera English,Can Netanyahu defy Trump on his Gaza peace plan?,The Guardian World,Netanyahu rejects US-led 15-point Gaza peace plan in rare public break with Trump,netanyahu | trump | gaza | peace | plan,Same,same story cluster
0.33,18.7,BBC News World,Netanyahu's rejection of Trump's 15-point Gaza plan unlikely to be final word,The Guardian World,Netanyahu rejects US-led 15-point Gaza peace plan in rare public break with Trump,netanyahu | trump | point | gaza | plan,Same,same story cluster
0.33,25.2,Al Jazeera English,Trump says relationship is good even as Netanyahu rejects Gaza peace plan,The Guardian World,Netanyahu rejects Trump’s Gaza plan and vows no withdrawal until Hamas disarms – as it happened,trump | netanyahu | rejects | gaza | plan,Same,same story cluster
0.31,9.3,BBC News World,Netanyahu's rejection of Trump's 15-point Gaza plan unlikely to be final word,Al Jazeera English,Can Netanyahu defy Trump on his Gaza peace plan?,netanyahu | trump | gaza | plan,Same,same story cluster
0.29,6.3,BBC News World,Netanyahu's rejection of Trump's 15-point Gaza plan unlikely to be final word,Al Jazeera English,Trump says relationship is good even as Netanyahu rejects Gaza peace plan,netanyahu | trump | gaza | plan,Same,same story cluster
0.29,6.9,Al Jazeera English,Inside a secret launch site for Ukraine’s deep-strike drones,The Guardian World,Ukraine drone strike on oil refinery deep inside Russia kills at least 13,inside | ukraine | deep | strike,Uncertain,background feature vs specific strike event - related theme not same event
0.27,28.1,Al Jazeera English,Can Netanyahu defy Trump on his Gaza peace plan?,The Guardian World,Netanyahu rejects Trump’s Gaza plan and vows no withdrawal until Hamas disarms – as it happened,netanyahu | trump | gaza | plan,Same,same story cluster
0.25,0.4,Kosmo Digital,Anwar mohon maaf tidak dapat sertai sidang khas RCI TH,Harian Metro,PM mohon maaf,mohon | maaf,Same,PM = Anwar; same apology event, shorter headline
0.25,0.5,Utusan Malaysia,Anwar mohon maaf tidak dapat sertai sidang khas RCI TH,Harian Metro,PM mohon maaf,mohon | maaf,Same,PM = Anwar; same apology event, shorter headline
0.25,18.8,BBC News World,Netanyahu's rejection of Trump's 15-point Gaza plan unlikely to be final word,The Guardian World,Netanyahu rejects Trump’s Gaza plan and vows no withdrawal until Hamas disarms – as it happened,netanyahu | trump | gaza | plan,Same,same story cluster
0.25,0.2,BBC News World,Trump signs order to limit childhood vaccines and split MMR shots,The Guardian World,Doctors and lawmakers condemn Trump order calling for sweeping changes to childhood vaccines – as it happened,trump | order | childhood | vaccines,Same,same executive order same day
0.25,6.5,Al Jazeera English,Can Netanyahu defy Trump on his Gaza peace plan?,The Guardian World,Flip-flopping Netanyahu rejects Gaza plan but cannot placate all his allies,netanyahu | his | gaza | plan,Same,same story cluster
0.25,3.5,Al Jazeera English,Moment of terror as powerful earthquake shakes airport in Colombia,The Guardian World,Scores dead in Colombia after powerful earthquake strikes west of country,powerful | earthquake | colombia,Same,same earthquake event
0.24,3.6,Al Jazeera English,Trump says relationship is good even as Netanyahu rejects Gaza peace plan,The Guardian World,Flip-flopping Netanyahu rejects Gaza plan but cannot placate all his allies,netanyahu | rejects | gaza | plan,Same,same story cluster
0.23,5.3,BBC News World,Watch: Moment powerful earthquake shakes Colombia and crumbles buildings,The Guardian World,Scores dead in Colombia after powerful earthquake strikes west of country,powerful | earthquake | colombia,Same,same earthquake event
0.22,0.1,Kosmo Digital,Wanita mengamuk pegang dua pisau,Utusan Malaysia,Wanita mengamuk di Kulim bukan kerana masalah rumah tangga,wanita | mengamuk,Uncertain,could be same Kulim incident or a different unrelated "wanita mengamuk" case - titles don't confirm
0.22,0.3,Kosmo Digital,Wanita mengamuk pegang dua pisau,Harian Metro,Wanita mengamuk pecahkan cermin dan lampu belakang kereta,wanita | mengamuk,Uncertain,plausibly same incident (knife + broken car) but not confirmed by title alone
0.21,0.9,Kosmo Digital,"Orang Asli jadi mata, telinga AADK bendung dadah di pedalaman",Harian Metro,"AADK masuk kampung Orang Asli, kekang masalah penagihan Orang Asli",orang | asli | aadk,Same,same AADK operation
